Lexema          Tipo de Token        Posición  
-------------------------------------------------------------
rodolfo         INTEGER              3:1       
_verano_        MAIN                 3:9       
abreregalo      ABREREGALO           3:18      
cierraregalo    CIERRAREGALO         3:29      
abrecuento      ABRECUENTO           3:42      
rodolfo         INTEGER              5:1       
_entero1_       IDENTIFICADOR        5:9       
entrega         ASIGNA               5:19      
5               L_INTEGER            5:27      
finregalo       PUNTO_Y_COMA         5:29      
varios          SWITCH               7:1       
abreregalo      ABREREGALO           7:8       
_temp_          IDENTIFICADOR        7:19      
cierraregalo    CIERRAREGALO         7:26      
abrecuento      ABRECUENTO           8:2       
historia        CASE                 10:2      
0               L_INTEGER            10:11     
sigue           DOS_PUNTOS           10:13     
abrecuento      ABRECUENTO           10:19     
_entero1_       IDENTIFICADOR        10:30     
entrega         ASIGNA               10:40     
0               L_INTEGER            10:48     
finregalo       PUNTO_Y_COMA         10:50     
corta           BREAK                10:60     
finregalo       PUNTO_Y_COMA         10:66     
cierracuento    CIERRACUENTO         10:76     
historia        CASE                 11:2      
1               L_INTEGER            11:11     
sigue           DOS_PUNTOS           11:13     
abrecuento      ABRECUENTO           11:19     
_entero1_       IDENTIFICADOR        11:30     
entrega         ASIGNA               11:40     
1               L_INTEGER            11:48     
finregalo       PUNTO_Y_COMA         11:50     
corta           BREAK                11:60     
finregalo       PUNTO_Y_COMA         11:66     
cierracuento    CIERRACUENTO         11:76     
historia        CASE                 12:2      
2               L_INTEGER            12:11     
sigue           DOS_PUNTOS           12:13     
abrecuento      ABRECUENTO           12:19     
_entero1_       IDENTIFICADOR        12:30     
entrega         ASIGNA               12:40     
2               L_INTEGER            12:48     
finregalo       PUNTO_Y_COMA         12:50     
corta           BREAK                12:60     
finregalo       PUNTO_Y_COMA         12:66     
cierracuento    CIERRACUENTO         12:76     
cierracuento    CIERRACUENTO         14:2      
envia           RETURN               16:1      
_entero1_       IDENTIFICADOR        16:7      
finregalo       PUNTO_Y_COMA         16:17     
cierracuento    CIERRACUENTO         17:1      
                EOF                  17:13     
